iter	Passed	Remaining
0	166	166531
1	168	84162
2	171	56892
3	173	43119
4	175	34849
5	176	29307
6	178	25340
7	180	22382
8	182	20092
9	185	18354
10	187	16847
11	189	15581
12	191	14504
13	192	13584
14	194	12785
15	197	12132
16	199	11547
17	201	11001
18	203	10507
19	205	10066
20	207	9659
21	209	9308
22	211	9002
23	214	8709
24	215	8417
25	217	8162
26	219	7921
27	222	7708
28	224	7503
29	226	7324
30	228	7146
31	230	6977
32	232	6805
33	233	6643
34	235	6489
35	237	6357
36	241	6282
37	243	6166
38	244	6034
39	246	5904
40	247	5781
41	248	5659
42	249	5548
43	250	5447
44	251	5345
45	253	5258
46	254	5167
47	255	5073
48	256	4980
49	257	4892
50	258	4809
51	259	4729
52	260	4652
53	261	4581
54	262	4511
55	263	4441
56	264	4372
57	265	4307
58	266	4252
59	267	4196
60	269	4143
61	270	4084
62	270	4026
63	271	3971
64	272	3917
65	273	3866
66	273	3815
67	274	3766
68	275	3718
69	276	3670
70	277	3624
71	277	3580
72	278	3540
73	279	3502
74	282	3482
75	283	3447
76	284	3412
77	285	3377
78	286	3342
79	287	3307
80	288	3276
81	291	3262
82	292	3226
83	293	3195
84	293	3164
85	295	3140
86	297	3118
87	298	3094
88	299	3068
89	301	3044
90	302	3021
91	303	2996
92	305	2975
93	306	2955
94	307	2931
95	308	2908
96	310	2889
97	311	2869
98	313	2855
99	316	2844
100	317	2824
101	318	2801
102	319	2778
103	320	2757
104	321	2740
105	322	2720
106	323	2699
107	324	2683
108	327	2674
109	328	2658
110	329	2642
111	330	2622
112	331	2602
113	332	2583
114	333	2565
115	334	2548
116	335	2532
117	336	2515
118	337	2497
119	338	2481
120	339	2467
121	340	2450
122	341	2435
123	342	2423
124	343	2406
125	344	2390
126	345	2374
127	346	2359
128	347	2343
129	348	2330
130	349	2321
131	350	2306
132	351	2291
133	352	2277
134	353	2268
135	355	2256
136	356	2247
137	358	2239
138	359	2227
139	360	2214
140	361	2201
141	361	2187
142	362	2173
143	363	2161
144	364	2149
145	365	2137
146	366	2126
147	367	2116
148	369	2112
149	371	2102
150	372	2093
151	373	2082
152	374	2071
153	375	2061
154	376	2050
155	376	2039
156	377	2029
157	378	2018
158	379	2008
159	380	1998
160	381	1986
161	383	1983
162	384	1975
163	386	1968
164	386	1958
165	387	1948
166	388	1938
167	389	1929
168	390	1919
169	391	1910
170	392	1901
171	393	1892
172	393	1883
173	394	1874
174	395	1864
175	396	1855
176	397	1847
177	398	1841
178	399	1833
179	400	1825
180	401	1816
181	402	1807
182	403	1799
183	403	1790
184	404	1781
185	405	1772
186	405	1763
187	406	1755
188	407	1746
189	407	1738
190	408	1730
191	409	1721
192	409	1713
193	410	1705
194	411	1697
195	412	1692
196	413	1685
197	414	1678
198	415	1672
199	416	1664
200	416	1657
201	417	1649
202	418	1641
203	418	1634
204	419	1627
205	420	1619
206	420	1612
207	421	1605
208	422	1598
209	422	1591
210	423	1584
211	424	1577
212	425	1570
213	426	1564
214	427	1559
215	428	1553
216	429	1547
217	429	1541
218	430	1534
219	431	1528
220	431	1521
221	432	1515
222	433	1508
223	433	1502
224	434	1496
225	435	1489
226	435	1483
227	436	1477
228	437	1471
229	437	1465
230	438	1459
231	439	1454
232	440	1448
233	441	1445
234	442	1440
235	443	1436
236	444	1431
237	445	1426
238	446	1420
239	446	1414
240	447	1409
241	448	1403
242	448	1398
243	449	1392
244	450	1387
245	450	1382
246	451	1376
247	452	1371
248	452	1366
249	453	1361
250	454	1356
251	455	1351
252	456	1348
253	457	1344
254	458	1339
255	459	1334
256	459	1329
257	460	1324
258	461	1319
259	461	1314
260	462	1310
261	463	1305
262	464	1300
263	464	1295
264	465	1290
265	466	1285
266	466	1281
267	467	1277
268	468	1272
269	469	1268
270	470	1264
271	471	1261
272	472	1257
273	473	1253
274	473	1249
275	474	1244
276	475	1240
277	475	1235
278	476	1231
279	477	1227
280	477	1222
281	478	1218
282	479	1214
283	479	1209
284	480	1205
285	481	1201
286	482	1197
287	482	1193
288	483	1190
289	485	1188
290	486	1185
291	488	1183
292	488	1179
293	489	1175
294	490	1172
295	491	1168
296	492	1165
297	495	1166
298	496	1163
299	496	1159
300	497	1156
301	499	1154
302	500	1151
303	501	1149
304	503	1146
305	505	1146
306	506	1143
307	507	1140
308	508	1137
309	509	1133
310	510	1130
311	511	1127
312	518	1137
313	519	1135
314	520	1132
315	522	1130
316	523	1127
317	524	1125
318	525	1122
319	527	1119
320	528	1118
321	530	1116
322	532	1115
323	533	1112
324	534	1110
325	536	1108
326	537	1106
327	538	1103
328	540	1102
329	541	1100
330	543	1098
331	545	1097
332	546	1095
333	548	1093
334	549	1091
335	551	1089
336	552	1086
337	552	1082
338	553	1079
339	554	1077
340	555	1074
341	557	1072
342	558	1070
343	559	1067
344	560	1064
345	561	1061
346	562	1058
347	563	1055
348	564	1052
349	565	1050
350	566	1047
351	567	1045
352	568	1042
353	569	1039
354	570	1037
355	572	1035
356	573	1032
357	574	1029
358	575	1026
359	575	1023
